Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
315,tt0083395,2020-09-30,2020-09-30,,Cagney & Lacey,https://www.imdb.com/title/tt0083395/,tvSeries,6.8,60,1981,"Crime, Drama, Mystery, Thriller",4531,1981-10-08,
316,tt0083470,2020-09-30,2020-09-30,,Remington Steele,https://www.imdb.com/title/tt0083470/,tvSeries,7.2,60,1982,"Action, Adventure, Comedy, Crime, Drama, Mystery, Romance, Thriller",9022,1982-10-01,
317,tt0086659,2020-09-30,2020-09-30,,'Allo 'Allo!,https://www.imdb.com/title/tt0086659/,tvSeries,8.4,45,1982,"Comedy, History, War",25795,1982-12-30,
318,tt0083466,2020-09-30,2020-09-30,,Police Squad!,https://www.imdb.com/title/tt0083466/,tvSeries,8.4,24,1982,"Comedy, Crime",18907,1982-03-04,
319,tt0083437,2020-09-30,2020-09-30,,Knight Rider,https://www.imdb.com/title/tt0083437/,tvSeries,6.9,46,1982,"Action, Crime, Drama, Sci-Fi",35278,1982-09-26,
320,tt0083402,2020-09-30,2020-09-30,,The Comic Strip Presents...,https://www.imdb.com/title/tt0083402/,tvSeries,7.8,,1982,Comedy,1503,1982-11-02,
321,tt4723216,2020-09-30,2020-09-30,,Maurizio Costanzo Show,https://www.imdb.com/title/tt4723216/,tvSeries,6.7,120,1982,"Family, Talk-Show",31,1982-09-14,
322,tt0083399,2020-09-30,2020-09-30,,Cheers,https://www.imdb.com/title/tt0083399/,tvSeries,7.9,22,1982,"Comedy, Drama",56803,1982-09-30,
323,tt0081935,2020-09-30,2020-09-30,,Sons and Daughters,https://www.imdb.com/title/tt0081935/,tvSeries,6.0,30,1982,"Drama, Romance",319,1982-01-17,
324,tt0083505,2020-09-30,2020-09-30,,The Young Ones,https://www.imdb.com/title/tt0083505/,tvSeries,8.2,35,1982,Comedy,15477,1982-11-09,
325,tt0083392,2020-09-30,2020-09-30,,Brookside,https://www.imdb.com/title/tt0083392/,tvSeries,6.5,30,1982,Drama,805,1982-11-02,
326,tt0083412,2020-09-30,2020-09-30,,Fame,https://www.imdb.com/title/tt0083412/,tvSeries,7.0,60,1982,"Drama, Music, Musical, Romance",4036,1982-01-07,
327,tt0083483,2020-09-30,2020-09-30,,St. Elsewhere,https://www.imdb.com/title/tt0083483/,tvSeries,8.0,60,1982,"Comedy, Drama",4728,1982-10-26,
328,tt0083689,2020-09-30,2020-09-30,,Boys from the Blackstuff,https://www.imdb.com/title/tt0083689/,tvMiniSeries,8.5,50,1982,Drama,1462,1982-10-10,
329,tt0084967,2020-09-30,2020-09-30,,The A-Team,https://www.imdb.com/title/tt0084967/,tvSeries,7.5,60,1983,"Action, Adventure, Crime",39172,1983-01-23,
330,tt0086665,2020-09-30,2020-09-30,,"Auf Wiedersehen, Pet",https://www.imdb.com/title/tt0086665/,tvSeries,8.5,60,1983,"Comedy, Drama",3668,1983-11-11,
331,tt0085040,2020-09-30,2020-09-30,,Just Good Friends,https://www.imdb.com/title/tt0085040/,tvSeries,7.1,92,1983,Comedy,1068,1983-09-22,
332,tt0085079,2020-09-30,2020-09-30,,Return to Eden,https://www.imdb.com/title/tt0085079/,tvMiniSeries,7.1,267,1983,"Drama, Romance, Thriller",1528,1983-09-27,
333,tt0088621,2020-09-30,2020-09-30,,Taggart,https://www.imdb.com/title/tt0088621/,tvSeries,7.3,120,1983,"Crime, Drama, Mystery",1762,1983-09-06,
334,tt0085106,2020-09-30,2020-09-30,,V,https://www.imdb.com/title/tt0085106/,tvMiniSeries,7.8,197,1983,"Action, Adventure, Sci-Fi",15905,1983-05-01,
335,tt0084991,2020-09-30,2020-09-30,,Brass,https://www.imdb.com/title/tt0084991/,tvSeries,8.0,30,1983,Comedy,171,1983-02-21,
336,tt0085111,2020-09-30,2020-09-30,,Widows,https://www.imdb.com/title/tt0085111/,tvMiniSeries,7.6,301,1983,"Crime, Drama",482,1983-03-16,
337,tt0085101,2020-09-30,2020-09-30,,The Thorn Birds,https://www.imdb.com/title/tt0085101/,tvMiniSeries,7.9,460,1983,"Drama, Romance",9398,1983-03-27,
338,tt0086807,2020-09-30,2020-09-30,,Spitting Image,https://www.imdb.com/title/tt0086807/,tvSeries,7.4,25,1984,Comedy,2386,1984-02-26,
339,tt0084987,2020-09-30,2020-09-30,,The Bill,https://www.imdb.com/title/tt0084987/,tvSeries,6.7,,1984,"Crime, Drama",3790,1983-08-16,
340,tt0086661,2020-09-30,2020-09-30,,The Adventures of Sherlock Holmes,https://www.imdb.com/title/tt0086661/,tvSeries,8.7,60,1984,"Crime, Drama, Mystery",22696,1984-04-24,
341,tt0337666,2020-09-30,2020-09-30,,1st Annual MTV Video Music Awards,https://www.imdb.com/title/tt0337666/,tvSpecial,7.4,180,1984,Music,116,1984-09-14,Edd Griles
342,tt1877711,2020-09-30,2020-09-30,,Miss Marple,https://www.imdb.com/title/tt1877711/,movie,,,,"Crime, Mystery",,,
343,tt0086765,2020-09-30,2020-09-30,,"Murder, She Wrote",https://www.imdb.com/title/tt0086765/,tvSeries,7.1,50,1984,"Crime, Drama, Mystery",25559,1984-09-30,
344,tt0086760,2020-09-30,2020-09-30,,Mike Hammer,https://www.imdb.com/title/tt0086760/,tvSeries,6.8,60,1984,"Crime, Drama, Mystery, Thriller",1136,1984-01-26,
345,tt0086779,2020-09-30,2020-09-30,,La piovra,https://www.imdb.com/title/tt0086779/,tvSeries,8.4,402,1984,"Crime, Drama, Mystery, Romance, Thriller",3705,1984-03-11,
346,tt0086770,2020-09-30,2020-09-30,,Night Court,https://www.imdb.com/title/tt0086770/,tvSeries,7.7,30,1984,Comedy,15552,1984-01-04,
347,tt0086708,2020-09-30,2020-09-30,,Ever Decreasing Circles,https://www.imdb.com/title/tt0086708/,tvSeries,7.3,30,1984,"Comedy, Drama",1256,1984-01-29,
348,tt0087400,2020-09-30,2020-09-30,,Heimat - Eine Chronik in elf Teilen,https://www.imdb.com/title/tt0087400/,tvMiniSeries,8.7,924,1984,"Drama, History, War",3206,1984-09-16,
349,tt0086791,2020-09-30,2020-09-30,,Robin of Sherwood,https://www.imdb.com/title/tt0086791/,tvSeries,8.4,60,1984,"Action, Drama, Fantasy",4580,1984-01-15,
350,tt0086739,2020-09-30,2020-09-30,,The Jewel in the Crown,https://www.imdb.com/title/tt0086739/,tvMiniSeries,8.4,778,1984,"Drama, History, Romance, War",2250,1984-01-09,
351,tt0086687,2020-09-30,2020-09-30,,The Cosby Show,https://www.imdb.com/title/tt0086687/,tvSeries,7.4,30,1984,"Comedy, Family, Romance",34661,1984-09-20,
352,tt0090163,2020-09-30,2020-09-30,,Threads,https://www.imdb.com/title/tt0090163/,tvMovie,8.0,112,1984,"Drama, Sci-Fi, Thriller",16631,1984-09-23,Mick Jackson
353,tt0086759,2020-09-30,2020-09-30,,Miami Vice,https://www.imdb.com/title/tt0086759/,tvSeries,7.5,48,1984,"Action, Crime, Drama, Mystery, Thriller",27352,1984-09-16,
354,tt0088479,2020-09-30,2020-09-30,,Anzacs,https://www.imdb.com/title/tt0088479/,tvMiniSeries,8.1,165,1985,"Drama, History, War",810,1985-10-27,
355,tt0088601,2020-09-30,2020-09-30,,Die Schwarzwaldklinik,https://www.imdb.com/title/tt0088601/,tvSeries,5.5,90,1985,"Drama, Family",657,1985-10-22,
356,tt0081834,2020-09-30,2020-09-30,,Das Boot,https://www.imdb.com/title/tt0081834/,tvMiniSeries,8.9,293,1985,"Drama, War",30864,1985-02-24,
357,tt0090424,2020-09-30,2020-09-30,,Edge of Darkness,https://www.imdb.com/title/tt0090424/,tvMiniSeries,8.3,307,1985,"Crime, Drama, Mystery, Thriller",3880,1985-11-04,
358,tt0088571,2020-09-30,2020-09-30,,Moonlighting,https://www.imdb.com/title/tt0088571/,tvSeries,7.6,60,1985,"Comedy, Drama, Mystery, Romance",21277,1985-03-03,
359,tt0088554,2020-09-30,2020-09-30,,Lindenstraße,https://www.imdb.com/title/tt0088554/,tvSeries,4.6,30,1985,"Drama, Family",751,1985-12-08,
360,tt0088580,2020-09-30,2020-09-30,,Neighbours,https://www.imdb.com/title/tt0088580/,tvSeries,5.5,22,1985,"Drama, Romance",5828,1985-03-18,
361,tt0088512,2020-09-30,2020-09-30,,EastEnders,https://www.imdb.com/title/tt0088512/,tvSeries,4.7,30,1985,"Crime, Drama, Romance",8631,1985-02-19,
362,tt0149542,2020-09-30,2020-09-30,,Victoria Wood: As Seen on TV,https://www.imdb.com/title/tt0149542/,tvSeries,8.0,30,1985,Comedy,390,1985-01-11,
363,tt0088604,2020-09-30,2020-09-30,,The Secret Diary of Adrian Mole Aged 13¾,https://www.imdb.com/title/tt0088604/,tvSeries,7.6,26,1985,"Comedy, Family",505,1985-09-16,
364,tt0088503,2020-09-30,2020-09-30,,Dempsey and Makepeace,https://www.imdb.com/title/tt0088503/,tvSeries,7.3,60,1985,"Action, Crime, Drama, Mystery",1850,1985-01-11,
365,tt0088526,2020-09-30,2020-09-30,,The Golden Girls,https://www.imdb.com/title/tt0088526/,tvSeries,8.1,30,1985,"Comedy, Drama",42643,1985-09-14,
366,tt0088550,2020-09-30,2020-09-30,,Larry King Live,https://www.imdb.com/title/tt0088550/,tvSeries,5.4,60,1985,"News, Talk-Show",1228,1985-06-03,
367,tt0088583,2020-09-30,2020-09-30,,North and South,https://www.imdb.com/title/tt0088583/,tvMiniSeries,8.0,561,1985,"Drama, History, Romance, War",11188,1985-11-03,
368,tt0088561,2020-09-30,2020-09-30,,Mapp & Lucia,https://www.imdb.com/title/tt0088561/,tvSeries,8.4,60,1985,Comedy,464,1985-04-14,
369,tt2588518,2020-09-30,2020-09-30,,Quelli della notte,https://www.imdb.com/title/tt2588518/,tvSeries,7.9,60,1985,Talk-Show,18,1985-04-29,
370,tt0088519,2020-09-30,2020-09-30,,The Flying Doctors,https://www.imdb.com/title/tt0088519/,tvSeries,6.7,50,1986,Drama,948,1986-05-15,
371,tt0090402,2020-09-30,2020-09-30,,Bread,https://www.imdb.com/title/tt0090402/,tvSeries,6.2,70,1986,Comedy,1427,1986-05-01,
372,tt0090390,2020-09-30,2020-09-30,,ALF,https://www.imdb.com/title/tt0090390/,tvSeries,7.4,30,1986,"Comedy, Family, Sci-Fi",36405,1986-09-22,
373,tt0098849,2020-09-30,2020-09-30,,The Life and Loves of a She-Devil,https://www.imdb.com/title/tt0098849/,tvMiniSeries,8.1,229,1986,Drama,643,1986-10-08,
374,tt0224856,2020-09-30,2020-09-30,,La dama de rosa,https://www.imdb.com/title/tt0224856/,tvSeries,6.5,60,1986,"Drama, Romance",50,1986-12-31,
375,tt0090541,2020-09-30,2020-09-30,,A Very Peculiar Practice,https://www.imdb.com/title/tt0090541/,tvSeries,8.5,50,1986,"Comedy, Drama",516,1986-05-21,
376,tt0092404,2020-09-30,2020-09-30,,The Monocled Mutineer,https://www.imdb.com/title/tt0092404/,tvMiniSeries,8.2,310,1986,"Drama, History, War",370,1986-08-31,
377,tt0090493,2020-09-30,2020-09-30,,The Oprah Winfrey Show,https://www.imdb.com/title/tt0090493/,tvSeries,5.1,60,1986,"News, Talk-Show",5231,1986-01-07,
378,tt0090472,2020-09-30,2020-09-30,,Liebling Kreuzberg,https://www.imdb.com/title/tt0090472/,tvSeries,7.2,45,1986,"Comedy, Thriller",191,1986-02-17,
379,tt0090459,2020-09-30,2020-09-30,,It's Garry Shandling's Show.,https://www.imdb.com/title/tt0090459/,tvSeries,7.7,30,1986,Comedy,1631,1986-09-10,
380,tt0096555,2020-09-30,2020-09-30,,Casualty,https://www.imdb.com/title/tt0096555/,tvSeries,6.1,50,1986,Drama,3166,1986-09-06,
381,tt5181856,2020-09-30,2020-09-30,,La corrida,https://www.imdb.com/title/tt5181856/,tvSeries,5.8,180,1986,"Family, Fantasy, Music",15,1986-07-05,
382,tt0090466,2020-09-30,2020-09-30,,L.A. Law,https://www.imdb.com/title/tt0090466/,tvSeries,7.1,46,1986,Drama,5744,1986-09-15,
383,tt0090481,2020-09-30,2020-09-30,,Matlock,https://www.imdb.com/title/tt0090481/,tvSeries,7.0,60,1986,"Crime, Drama, Mystery",8337,1986-03-03,
384,tt0090521,2020-09-30,2020-09-30,,The Singing Detective,https://www.imdb.com/title/tt0090521/,tvMiniSeries,8.6,415,1986,"Drama, Musical, Mystery, Thriller",4528,1986-11-16,
385,tt0090453,2020-09-30,2020-09-30,,Hot Metal,https://www.imdb.com/title/tt0090453/,tvSeries,7.9,,1986,Comedy,113,1986-02-16,
386,tt0094447,2020-09-30,2020-09-30,,Dear John,https://www.imdb.com/title/tt0094447/,tvSeries,6.8,30,1988,Comedy,1652,1988-10-06,
387,tt0092400,2020-09-30,2020-09-30,,Married with Children,https://www.imdb.com/title/tt0092400/,tvSeries,8.1,22,1987,Comedy,105511,1987-04-05,
388,tt0092462,2020-09-30,2020-09-30,,Talking Heads,https://www.imdb.com/title/tt0092462/,tvMiniSeries,8.6,,1987,"Comedy, Drama",364,1988-04-19,
389,tt0092355,2020-09-30,2020-09-30,,French and Saunders,https://www.imdb.com/title/tt0092355/,tvSeries,7.6,30,1987,Comedy,3522,1987-03-09,
390,tt0092471,2020-09-30,2020-09-30,,Tutti Frutti,https://www.imdb.com/title/tt0092471/,tvMiniSeries,8.1,69,1987,"Comedy, Drama, Music",395,1987-03-03,
391,tt0094519,2020-09-30,2020-09-30,,The New Statesman,https://www.imdb.com/title/tt0094519/,tvSeries,7.8,70,1987,Comedy,2640,1987-09-13,
392,tt0188348,2020-09-30,2020-09-30,,Nessuno torna indietro,https://www.imdb.com/title/tt0188348/,tvSeries,6.1,360,1987,,15,1987-03-26,
393,tt0092428,2020-09-30,2020-09-30,,Porterhouse Blue,https://www.imdb.com/title/tt0092428/,tvMiniSeries,7.6,200,1987,Comedy,476,1987-06-03,
394,tt0092492,2020-09-30,2020-09-30,,Thirtysomething,https://www.imdb.com/title/tt0092492/,tvSeries,7.5,60,1987,"Drama, Romance",2703,1987-09-29,
395,tt0268093,2020-09-30,2020-09-30,,Ramayan,https://www.imdb.com/title/tt0268093/,tvSeries,9.0,30,1987,"Adventure, Drama, Family, Musical, War",21103,1987-01-25,
396,tt0092359,2020-09-30,2020-09-30,,Full House,https://www.imdb.com/title/tt0092359/,tvSeries,6.7,22,1987,"Comedy, Drama, Family",59769,1987-03-10,
397,tt0092455,2020-09-30,2020-09-30,,Star Trek: The Next Generation,https://www.imdb.com/title/tt0092455/,tvSeries,8.7,44,1987,"Action, Adventure, Sci-Fi",122968,1987-09-26,
398,tt0092402,2020-09-30,2020-09-30,,Max Headroom,https://www.imdb.com/title/tt0092402/,tvSeries,7.4,60,1987,"Comedy, Sci-Fi",2785,1987-03-31,
399,tt0092379,2020-09-30,2020-09-30,,Inspector Morse,https://www.imdb.com/title/tt0092379/,tvSeries,8.2,100,1987,"Crime, Drama, Mystery",12675,1987-01-06,
400,tt0094481,2020-09-30,2020-09-30,,Home and Away,https://www.imdb.com/title/tt0094481/,tvSeries,5.1,22,1988,"Drama, Romance",6149,1988-01-17,
401,tt0094517,2020-09-30,2020-09-30,,Mystery Science Theater 3000,https://www.imdb.com/title/tt0094517/,tvSeries,8.7,92,1988,"Comedy, Sci-Fi",24895,1988-05-10,
402,tt0158417,2020-09-30,2020-09-30,,Mahabharat,https://www.imdb.com/title/tt0158417/,tvSeries,9.0,45,1988,"Adventure, Drama, History, War",19902,1988-10-02,
403,tt0094540,2020-09-30,2020-09-30,,Roseanne,https://www.imdb.com/title/tt0094540/,tvSeries,7.0,21,1988,"Comedy, Drama",44066,1988-10-18,
404,tt0094514,2020-09-30,2020-09-30,,Murphy Brown,https://www.imdb.com/title/tt0094514/,tvSeries,6.9,30,1988,Comedy,9916,1988-11-14,
405,tt0094582,2020-09-30,2020-09-30,,The Wonder Years,https://www.imdb.com/title/tt0094582/,tvSeries,8.4,22,1988,"Comedy, Drama, Family, Romance",38558,1988-01-31,
406,tt0094535,2020-09-30,2020-09-30,,Red Dwarf,https://www.imdb.com/title/tt0094535/,tvSeries,8.4,30,1988,"Comedy, Sci-Fi",35573,1988-02-15,
407,tt0096626,2020-09-30,2020-09-30,,The Kids in the Hall,https://www.imdb.com/title/tt0096626/,tvSeries,8.4,25,1988,Comedy,10651,1988-10-16,
408,tt0173553,2020-09-30,2020-09-30,,Les Guignols de l'info,https://www.imdb.com/title/tt0173553/,tvSeries,8.0,8,1988,"Animation, Comedy",340,1988-08-31,
409,tt0096540,2020-09-30,2020-09-30,,Bangkok Hilton,https://www.imdb.com/title/tt0096540/,tvMiniSeries,7.8,270,1989,"Drama, Thriller",4906,1989-11-05,
410,tt0096531,2020-09-30,2020-09-30,,Alien Nation,https://www.imdb.com/title/tt0096531/,tvSeries,6.9,60,1989,"Crime, Drama, Sci-Fi",5242,1989-09-18,
411,tt0094525,2020-09-30,2020-09-30,,Poirot,https://www.imdb.com/title/tt0094525/,tvSeries,8.6,100,1989,"Crime, Drama, Mystery, Thriller",46763,1989-01-08,
412,tt0096656,2020-09-30,2020-09-30,,Mother Love,https://www.imdb.com/title/tt0096656/,tvMiniSeries,8.4,220,1989,"Drama, Thriller",425,1989-10-20,
413,tt0096535,2020-09-30,2020-09-30,,Around the World in 80 Days,https://www.imdb.com/title/tt0096535/,tvMiniSeries,7.1,266,1989,"Action, Adventure, Comedy, Drama, Romance",3304,1989-04-16,
414,tt0092337,2020-09-30,2020-09-30,,Dekalog,https://www.imdb.com/title/tt0092337/,tvMiniSeries,9.0,572,1989,Drama,26119,1989-05-16,
415,tt0096697,2020-09-30,2020-09-30,,The Simpsons,https://www.imdb.com/title/tt0096697/,tvSeries,8.7,22,1989,"Animation, Comedy",411007,1989-12-17,
416,tt0096658,2020-09-30,2020-09-30,,Navarro,https://www.imdb.com/title/tt0096658/,tvSeries,6.3,90,1989,"Crime, Drama",573,1989-10-26,
417,tt0096537,2020-09-30,2020-09-30,,The Arsenio Hall Show,https://www.imdb.com/title/tt0096537/,tvSeries,6.4,60,1989,"Comedy, Family, Music, Talk-Show",909,1989-01-03,
418,tt0096542,2020-09-30,2020-09-30,,Baywatch,https://www.imdb.com/title/tt0096542/,tvSeries,5.4,60,1989,"Action, Adventure, Crime, Drama, Romance",28422,1989-04-23,
419,tt0096684,2020-09-30,2020-09-30,,Quantum Leap,https://www.imdb.com/title/tt0096684/,tvSeries,8.2,60,1989,"Action, Adventure, Drama, Mystery, Sci-Fi",33479,1989-03-26,
420,tt0096679,2020-09-30,2020-09-30,,Press Gang,https://www.imdb.com/title/tt0096679/,tvSeries,8.1,1290,1989,"Family, Comedy, Drama",990,1989-01-16,
421,tt0096716,2020-09-30,2020-09-30,,Traffik,https://www.imdb.com/title/tt0096716/,tvMiniSeries,8.4,315,1989,"Crime, Drama",1542,1989-06-22,
422,tt0098904,2020-09-30,2020-09-30,,Seinfeld,https://www.imdb.com/title/tt0098904/,tvSeries,8.9,22,1989,Comedy,323487,1989-05-06,
423,tt0098749,2020-09-30,2020-09-30,,"Beverly Hills, 90210",https://www.imdb.com/title/tt0098749/,tvSeries,6.5,44,1990,"Drama, Romance",35181,1990-10-04,
424,tt0098817,2020-09-30,2020-09-30,,Harry Enfield's Television Programme,https://www.imdb.com/title/tt0098817/,tvSeries,7.3,30,1990,Comedy,1921,1990-11-08,
425,tt0098858,2020-09-30,2020-09-30,,The Mary Whitehouse Experience,https://www.imdb.com/title/tt0098858/,tvSeries,8.3,30,1990,Comedy,226,1990-10-03,
426,tt0098800,2020-09-30,2020-09-30,,The Fresh Prince of Bel-Air,https://www.imdb.com/title/tt0098800/,tvSeries,7.9,22,1990,Comedy,136791,1990-09-10,
427,tt0098833,2020-09-30,2020-09-30,,Jeeves and Wooster,https://www.imdb.com/title/tt0098833/,tvSeries,8.4,55,1990,Comedy,12636,1990-04-22,
428,tt0098882,2020-09-30,2020-09-30,,One Foot in the Grave,https://www.imdb.com/title/tt0098882/,tvSeries,7.9,90,1990,"Comedy, Drama",6799,1990-01-04,
429,tt0098936,2020-09-30,2020-09-30,,Twin Peaks,https://www.imdb.com/title/tt0098936/,tvSeries,8.8,47,1990,"Crime, Drama, Mystery, Thriller",200288,1989-09-28,
430,tt0098945,2020-09-30,2020-09-30,,Waiting for God,https://www.imdb.com/title/tt0098945/,tvSeries,7.8,30,1990,Comedy,1869,1990-06-28,
431,tt0173548,2020-09-30,2020-09-30,,Fort Boyard,https://www.imdb.com/title/tt0173548/,tvSeries,7.0,100,1990,Game-Show,499,1990-07-01,
432,tt0098878,2020-09-30,2020-09-30,,Northern Exposure,https://www.imdb.com/title/tt0098878/,tvSeries,8.3,60,1990,"Comedy, Drama",17235,1990-07-12,
433,tt0096657,2020-09-30,2020-09-30,,Mr. Bean,https://www.imdb.com/title/tt0096657/,tvSeries,8.6,25,1990,"Comedy, Family",122137,1990-01-01,
433,tt0096657,2020-09-30,2020-09-30,,Political Animals,https://www.imdb.com/title/tt0096657/,tvSeries,8.6,25,1990,"Comedy, Family",122137,1990-01-01,
434,tt0098837,2020-09-30,2020-09-30,,Keeping Up Appearances,https://www.imdb.com/title/tt0098837/,tvSeries,7.8,60,1990,Comedy,16561,1990-10-29,
435,tt0098844,2020-09-30,2020-09-30,,Law & Order,https://www.imdb.com/title/tt0098844/,tvSeries,7.8,45,1990,"Crime, Drama, Mystery, Thriller",39945,1990-09-13,
436,tt0098032,2020-09-30,2020-09-30,,Oranges Are Not the Only Fruit,https://www.imdb.com/title/tt0098032/,tvMiniSeries,7.7,165,1989,Drama,1060,1989-11-30,
437,tt0098820,2020-09-30,2020-09-30,,Have I Got News for You,https://www.imdb.com/title/tt0098820/,tvSeries,7.9,29,1990,"Comedy, Game-Show, News",5215,1990-09-28,
438,tt0098825,2020-09-30,2020-09-30,,House of Cards,https://www.imdb.com/title/tt0098825/,tvMiniSeries,8.5,226,1990,Drama,14600,1990-11-18,
439,tt0099864,2020-09-30,2020-09-30,,It,https://www.imdb.com/title/tt0099864/,tvMiniSeries,6.8,192,1990,"Drama, Horror, Mystery, Thriller",131391,1990-11-18,
440,tt0098781,2020-09-30,2020-09-30,,Drop the Dead Donkey,https://www.imdb.com/title/tt0098781/,tvSeries,8.0,,1990,Comedy,1462,1990-08-09,
441,tt0120974,2020-09-30,2020-09-30,,The Jerry Springer Show,https://www.imdb.com/title/tt0120974/,tvSeries,3.7,60,1991,Talk-Show,4468,1991-09-30,
442,tt0101074,2020-09-30,2020-09-30,,Dark Season,https://www.imdb.com/title/tt0101074/,tvSeries,6.4,25,1991,"Adventure, Family, Sci-Fi, Thriller",230,1991-11-14,
443,tt0103376,2020-09-30,2020-09-30,,Bottom,https://www.imdb.com/title/tt0103376/,tvSeries,8.3,30,1991,Comedy,13396,1991-09-17,
444,tt0101123,2020-09-30,2020-09-30,,The House of Eliott,https://www.imdb.com/title/tt0101123/,tvSeries,8.1,50,1991,Drama,1466,1991-08-31,
445,tt0162076,2020-09-30,2020-09-30,,Familie,https://www.imdb.com/title/tt0162076/,tvSeries,3.6,30,1991,"Drama, Family",394,1991-12-30,
446,tt0101054,2020-09-30,2020-09-30,,The Brittas Empire,https://www.imdb.com/title/tt0101054/,tvSeries,7.1,30,1991,Comedy,3499,1991-01-03,
447,tt0101053,2020-09-30,2020-09-30,,Brides of Christ,https://www.imdb.com/title/tt0101053/,tvMiniSeries,8.2,,1991,Drama,672,1991-09-04,
448,tt0101104,2020-09-30,2020-09-30,,G.B.H.,https://www.imdb.com/title/tt0101104/,tvMiniSeries,8.6,567,1991,"Comedy, Drama",777,1991-06-06,
449,tt0167644,2020-09-30,2020-09-30,,Maigret,https://www.imdb.com/title/tt0167644/,tvSeries,7.9,90,1991,"Crime, Drama, Mystery",643,1991-10-14,
450,tt0098898,2020-09-30,2020-09-30,,Prime Suspect,https://www.imdb.com/title/tt0098898/,tvSeries,8.3,207,1991,"Crime, Drama, Mystery, Thriller",8261,1991-04-07,
451,tt0101032,2020-09-30,2020-09-30,,2point4 Children,https://www.imdb.com/title/tt0101032/,tvSeries,6.9,40,1991,Comedy,1542,1991-09-03,
452,tt0106042,2020-09-30,2020-09-30,,Julie Lescaut,https://www.imdb.com/title/tt0106042/,tvSeries,4.6,90,1992,"Crime, Drama",408,1992-01-09,
453,tt0108967,2020-09-30,2020-09-30,,A Touch of Frost,https://www.imdb.com/title/tt0108967/,tvSeries,7.9,105,1992,"Crime, Drama, Mystery",8008,1992-12-06,
454,tt0103491,2020-09-30,2020-09-30,,Melrose Place,https://www.imdb.com/title/tt0103491/,tvSeries,5.9,60,1992,"Drama, Romance",12510,1992-07-08,
455,tt0103520,2020-09-30,2020-09-30,,The Real World,https://www.imdb.com/title/tt0103520/,tvSeries,5.1,30,1992,"Drama, Reality-TV",4108,1992-05-21,
456,tt0103434,2020-09-30,2020-09-30,,"Gute Zeiten, schlechte Zeiten",https://www.imdb.com/title/tt0103434/,tvSeries,2.8,25,1992,"Drama, Family, Romance",1290,1992-05-11,
457,tt0105929,2020-09-30,2020-09-30,,Absolutely Fabulous,https://www.imdb.com/title/tt0105929/,tvSeries,8.2,45,1992,Comedy,20309,1992-11-12,
458,tt0103362,2020-09-30,2020-09-30,,Between the Lines,https://www.imdb.com/title/tt0103362/,tvSeries,8.2,50,1992,"Crime, Drama",582,1992-09-04,
459,tt0103522,2020-09-30,2020-09-30,,Red Shoe Diaries,https://www.imdb.com/title/tt0103522/,tvSeries,5.7,30,1992,"Drama, Romance",1127,1992-06-27,
460,tt0101143,2020-09-30,2020-09-30,,Men Behaving Badly,https://www.imdb.com/title/tt0101143/,tvSeries,7.7,45,1992,Comedy,8327,1992-02-18,
461,tt0103466,2020-09-30,2020-09-30,,The Larry Sanders Show,https://www.imdb.com/title/tt0103466/,tvSeries,8.5,30,1992,Comedy,8727,1992-08-15,
462,tt0105943,2020-09-30,2020-09-30,,As Time Goes By,https://www.imdb.com/title/tt0105943/,tvSeries,8.3,60,1992,"Comedy, Romance",4564,1992-01-12,
463,tt0098911,2020-09-30,2020-09-30,,Shortland Street,https://www.imdb.com/title/tt0098911/,tvSeries,4.5,30,1992,Drama,993,1992-05-25,
464,tt0105958,2020-09-30,2020-09-30,,Boy Meets World,https://www.imdb.com/title/tt0105958/,tvSeries,8.1,23,1993,"Comedy, Drama, Family",43843,1993-09-24,
465,tt0106179,2020-09-30,2020-09-30,,The X Files,https://www.imdb.com/title/tt0106179/,tvSeries,8.6,45,1993,"Crime, Drama, Mystery, Sci-Fi, Thriller",229228,1993-09-10,
466,tt0106168,2020-09-30,2020-09-30,,"Walker, Texas Ranger",https://www.imdb.com/title/tt0106168/,tvSeries,5.6,43,1993,"Action, Adventure, Crime, Drama, Western",17428,1993-04-21,
467,tt0106028,2020-09-30,2020-09-30,,Homicide: Life on the Street,https://www.imdb.com/title/tt0106028/,tvSeries,8.7,60,1993,"Crime, Drama, Mystery, Thriller",13048,1993-01-31,
468,tt0106053,2020-09-30,2020-09-30,,Late Show with David Letterman,https://www.imdb.com/title/tt0106053/,tvSeries,7.0,60,1993,"Comedy, Music, Talk-Show",13924,1993-08-30,
469,tt0220265,2020-09-30,2020-09-30,,Ryôri no tetsujin,https://www.imdb.com/title/tt0220265/,tvSeries,8.6,60,1993,"Game-Show, Reality-TV",1420,1993-10-10,
470,tt0106136,2020-09-30,2020-09-30,,Snowy River: The McGregor Saga,https://www.imdb.com/title/tt0106136/,tvSeries,7.3,60,1994,"Drama, Western",887,1994-12-31,
471,tt0107423,2020-09-30,2020-09-30,,Lipstick on Your Collar,https://www.imdb.com/title/tt0107423/,tvMiniSeries,8.1,360,1993,"Comedy, Drama, Musical, War",1377,1993-02-21,
